name,address,cuisine,latitude,longitude
The Inn at Pound Ridge,"258 Westchester Ave., Pound Ridge, 10576, USA","$$$$ · American, American Contemporary",41.20939,-73.5752
Al Badawi,"151 Atlantic Ave., Brooklyn, 11201, USA",$$ · Middle Eastern,40.690615,-73.994987
The Commerce Inn,"50 Commerce St., New York, 10014, USA","$$$ · American, Steakhouse",40.731358,-74.00564
Semma,"60 Greenwich Ave., New York, 10011, USA","$$$ · Indian, Regional Cuisine",40.736015,-74.000578
Little Alley,"550 Third Ave., New York, 10016, USA","$$ · Chinese, Shanghainese",40.747419,-73.977229
La Mercerie,"53 Howard St., New York, 10013, USA","$$$$ · French, Contemporary",40.720158,-74.002216
Fasano,"60 E. 49th St., New York, 10017, USA",$$$$ · Italian,40.756888,-73.975708
Ensenada,"168 Borinquen Pl., Brooklyn, 11211, USA","$$$ · Mexican, Seafood",40.710501,-73.954157
Atera,"77 Worth St., New York, 10013, USA",$$$$ · Contemporary,40.716887,-74.005575
La Vara,"268 Clinton St., Brooklyn, 11201, USA",$$ · Spanish,40.687805,-73.995742
Jean-Georges,"1 Central Park West, New York, 10023, USA","$$$$ · Contemporary, French Contemporary",40.769099,-73.981565
Casa Enrique,"5-48 49th Ave., Queens, 11101, USA","$$ · Mexican, Regional Cuisine",40.74338,-73.95416
Pinch Chinese,"177 Prince St., New York, 10012, USA","$$ · Chinese, Regional Cuisine",40.726416,-74.001838
Miss Lily’s,"109 Avenue A, New York, 10009, USA",$$ · Jamaican,40.72604,-73.983817
Gabriel Kreuther,"41 W. 42nd St., New York, 10036, USA","$$$$ · Contemporary, French",40.754402,-73.982662
Café Boulud,"100 E. 63rd St., New York, 10065, USA",$$$$ · French,40.765122,-73.967604
Mirra,"1954 W. Armitage Ave., Chicago, 60622, USA","$$ · Fusion, Mexican",41.917936,-87.677358
Laliko,"80 Carmine St., New York, 10014, USA",$$ · Central Asian,40.729436,-74.004928
Mango Bay,"271 Adelphi St., Brooklyn, 11205, USA",$$$ · Caribbean,40.689405,-73.970916
Taqueria Chingón,"817 W. Fulton Market, Chicago, 60607, USA",$ · Mexican,41.88656,-87.648225
Patricia’s,"1082 Morris Park Ave., Bronx, 10461, USA","$$$ · Italian-American, Italian",40.849171,-73.853348
Ruffian,"125 E. 7th St., New York, 10009, USA","$$ · Contemporary, Creative",40.72645,-73.984077
Community Food & Juice,"2893 Broadway, New York, 10025, USA","$$ · American, Contemporary",40.805929,-73.96575
Miss Ada,"184 DeKalb Ave., Brooklyn, 11205, USA","$$ · Israeli, Middle Eastern",40.68945,-73.97238
Kochi,"652 Tenth Ave., New York, 10036, USA","$$$$ · Korean, Contemporary",40.761997,-73.993472
RaaSa,"145 E. Main St., Elmsford, 10523, USA","$$ · Indian, Regional Cuisine",41.05162,-73.8127
Risbo,"701 Flatbush Ave., Brooklyn, 11225, USA","$$ · American, Grills",40.656055,-73.95971
Ai Fiori,"400 Fifth Ave., New York, 10018, USA","$$$$ · Italian, French",40.750055,-73.983725
Mile End,"97A Hoyt St., Brooklyn, 11217, USA",$ · Deli,40.687485,-73.987047
Sobre Masa,"52 Harrison Pl., Brooklyn, 11237, USA",$$ · Mexican,40.706281,-73.931352
Laser Wolf,"97 Wythe Ave., Brooklyn, 11249, USA","$$$ · Middle Eastern, Regional Cuisine",40.720795,-73.958751
Benoit,"60 W. 55th St., New York, 10019, USA",$$$ · French,40.762542,-73.977252
Frevo,"48 W. 8th St., New York, 10011, USA",$$$$ · Contemporary,40.73305,-73.998748
Soba Totto,"211 E. 43rd St., New York, 10017, USA","$$ · Japanese, Soba",40.751364,-73.973062
Uzuki,"95 Guernsey St., Brooklyn, 11222, USA","$$$$ · Japanese, Soba",40.724517,-73.95347
Coqodaq,"12 E. 22nd St., New York, 10010, USA",$$ · Korean,40.740114,-73.98871
Nōksu,"49 W. 32nd St., New York, 10001, USA","$$$$ · Contemporary, Korean",40.748265,-73.987798
Potluck Club,"133 Chrystie St., New York, 10002, USA","$$ · Chinese, Cantonese",40.719534,-73.993378
KRU,"190 N. 14th St., Brooklyn, 11249, USA","$$$ · Thai, Contemporary",40.722846,-73.95575
Tong Sam Gyup Goo Yi,"162-23 Depot Rd., Queens, 11358, USA","$$ · Korean, Barbecue",40.762128,-73.803021
Peter Luger,"178 Broadway, Brooklyn, 11211, USA","$$$$ · Steakhouse, American",40.709841,-73.96262
Sunday in Brooklyn,"348 Wythe Ave., Brooklyn, 11249, USA","$$$ · American, Contemporary",40.71418,-73.965327
Persepolis,"1407 Second Ave., New York, 10021, USA",$$ · Persian,40.76981,-73.95794
Legend of Taste,"2002 Utopia Pkwy., Queens, 11357, USA","$$ · Chinese, Sichuan",40.77954,-73.794116
Oso,"1618 Amsterdam Ave., New York, 10031, USA","$$ · Mexican, Regional Cuisine",40.82195,-73.950237
Caviar Russe,"538 Madison Ave., New York, 10022, USA","$$$$ · Contemporary, Seafood",40.760736,-73.973747
Noreetuh,"128 First Ave., New York, 10009, USA",$$ · Fusion,40.727295,-73.985265
Chez Ma Tante,"92 Calyer St., Brooklyn, 11222, USA","$$$ · American Contemporary, Regional Cuisine",40.726912,-73.95745
Nyonya,"199 Grand St., New York, 10013, USA",$ · Malaysian,40.719053,-73.996877
Eleven Madison Park,"11 Madison Ave., New York, 10010, USA","$$$$ · Vegan, Innovative",40.74158,-73.986642
Speedy Romeo,"376 Classon Ave., Brooklyn, 11238, USA",$$ · Pizza,40.687511,-73.959956
Le Coucou,"138 Lafayette St., New York, 10013, USA","$$$$ · French, Classic French",40.71909,-74.00013
Raoul's,"180 Prince St., New York, 10012, USA","$$$$ · French, American",40.726204,-74.002115
Estela,"47 E. Houston St., New York, 10012, USA","$$$$ · Contemporary, American",40.724628,-73.994768
Tempura Matsui,"222 E. 39th St., New York, 10016, USA","$$$$ · Japanese, Tempura",40.748235,-73.974825
Jeju Noodle Bar,"679 Greenwich St., New York, 10014, USA",$$$ · Korean,40.733035,-74.007304
Tra Di Noi,"622 E. 187th St., Bronx, 10458, USA","$$ · Italian, Italian-American",40.85498,-73.886853
Pastis,"52 Gansevoort St., New York, 10014, USA",$$$ · French,40.739222,-74.007022
Torien,"292 Elizabeth St., New York, 10012, USA","$$$$ · Japanese, Yakitori",40.724757,-73.993152
Untable,"529 Henry St., Brooklyn, 11231, USA",$$ · Thai,40.683578,-73.999462
Novitá,"102 E. 22nd St., New York, 10010, USA","$$$ · Italian, Regional Cuisine",40.739146,-73.986365
Katz's,"205 E. Houston St., New York, 10002, USA",$ · Deli,40.722229,-73.987414
Noda,"37 W. 20th St., New York, 10001, USA","$$$$ · Japanese, Sushi",40.740759,-73.993188
Barawine,"200 Lenox Ave., New York, 10027, USA","$$$ · Contemporary, French Contemporary",40.804561,-73.947432
Orsay,"1057 Lexington Ave., New York, 10021, USA",$$$ · French,40.772401,-73.960504
Shion 69 Leonard Street,"69 Leonard St., New York, 10013, USA","$$$$ · Japanese, Sushi",40.71761,-74.00542
Cote,"16 W. 22nd St., New York, 10010, USA","$$$$ · Korean, Steakhouse",40.741105,-73.991408
Gallaghers,"228 W. 52nd St., New York, 10019, USA",$$$ · Steakhouse,40.762806,-73.983907
Mirra,"1954 W. Armitage Ave., Chicago, 60622, USA","$$ · Fusion, Mexican",41.917936,-87.677358
Laliko,"80 Carmine St., New York, 10014, USA",$$ · Central Asian,40.729436,-74.004928
Mango Bay,"271 Adelphi St., Brooklyn, 11205, USA",$$$ · Caribbean,40.689405,-73.970916
Taqueria Chingón,"817 W. Fulton Market, Chicago, 60607, USA",$ · Mexican,41.88656,-87.648225
Lupa,"170 Thompson St., New York, 10012, USA",$$$ · Italian,40.72765,-74.00021
Avant Garden,"95 Avenue A, New York, 10009, USA",$$ · Vegan,40.725646,-73.984077
Masa,"10 Columbus Circle, New York, 10019, USA","$$$$ · Japanese, Sushi",40.768228,-73.983129
Wayan,"20 Spring St., New York, 10012, USA","$$$ · Indonesian, South East Asian",40.721293,-73.99511
Fausto,"348 Flatbush Ave., Brooklyn, 11238, USA","$$$ · Italian, American",40.67596,-73.971841
Eléa,"217 W. 85th St., New York, 10024, USA","$$$ · Greek, Seafood",40.787533,-73.976506
Tolo,"28 Canal St., New York, 10002, USA",$$ · Chinese,40.714334,-73.990512
Jōji,"1 Vanderbilt Ave., New York, 10017, USA","$$$$ · Japanese, Sushi",40.752854,-73.978521
Upland,"345 Park Ave. South, New York, 10019, USA","$$$ · Mediterranean Cuisine, American Contemporary",40.741741,-73.984965
Xiquet,"2404 Wisconsin Ave. NW, Washington, 20007, USA",$$$$ · Spanish,38.921285,-77.072426
Rooster & Owl,"2436 14th St. NW, Washington, 20009, USA","$$$ · Contemporary, Fusion",38.921459,-77.03217
Blue Duck Tavern,"1201 24th St. NW, Washington, 20037, USA","$$$$ · American, American Contemporary",38.9059,-77.051099
Masseria,"1340 4th St. NE, Washington, 20002, USA","$$$$ · Italian, Regional Cuisine",38.90968,-76.999145
Family Ethiopian,"1414 9th St. NW, Washington, 20001, USA","$$ · Ethiopian, Regional Cuisine",38.909138,-77.024235
Ris,"2275 L St. NW, Washington, 20037, USA",$$ · American,38.903919,-77.049835
Café Riggs,"900 F St. NW, Washington, 20004, USA","$$$ · Contemporary, French",38.897133,-77.024333
Toki Underground,"1234 H St. NE, Washington, 20002, USA","$ · Japanese, Ramen",38.900424,-76.989039
Thip Khao,"3462 14th St. NW, Washington, 20010, USA",$$ · Lao,38.933021,-77.033038
Annabelle,"2132 Florida Ave. NW, Washington, 20008, USA","$$$ · Contemporary, American",38.912752,-77.047269
Queen’s English,"3410 11th St. NW, Washington, 20010, USA","$$ · Chinese, Contemporary",38.932149,-77.028579
Métier,"1015 7th St. NW, Washington, 20001, USA","$$$$ · Contemporary, Modern French",38.903472,-77.021671
Dōgon,"1330 Maryland Ave. SW, Washington, 20024, USA","$$$$ · African, Caribbean",38.883656,-77.030272
Menya Hosaki,"845 Upshur St. NW, Washington, 20011, USA","$$ · Japanese, Ramen",38.942118,-77.024685
Royal,"501 Florida Ave. NW, Washington, 20001, USA",$$ · Latin American,38.915058,-77.018569
Chaplin's,"1501 9th St. NW, Washington, 20001, USA","$$ · Asian, Ramen",38.909809,-77.023666
Taqueria Habanero,"3710 14th St. NW, Washington, 20010, USA",$$ · Mexican,38.937558,-77.033089
Dauphine's,"1100 15th St. NW, Washington, 20005, USA","$$ · Creole, Creative",38.903974,-77.035
El Secreto de Rosita,"1624 U St. NW, Washington, 20009, USA","$$$ · Peruvian, Latin American",38.91682,-77.037898
Reveler's Hour,"1775 Columbia Rd. NW, Washington, 20009, USA","$$$ · Contemporary, Italian",38.923456,-77.042026
La Tejana,"3211 Mt. Pleasant St. NW, Washington, 20010, USA",$ · Mexican,38.931518,-77.03823
Daru,"1451 Maryland Ave. NE, Washington, 20002, USA","$$ · Indian, Regional Cuisine",38.899655,-76.98385
Rasika,"633 D St. NW, Washington, 20004, USA",$$$ · Indian,38.894999,-77.021289
Moon Rabbit,"927 F St. NW, Washington, 20002, USA",$$$ · Vietnamese,38.897536,-77.025248
Das,"1201 28th St. NW, Washington, 20007, USA","$$ · Ethiopian, Regional Cuisine",38.905424,-77.056876
Astoria DC,"1521 17th St. NW, Washington, 20036, USA","$$ · Asian, Sichuan",38.910531,-77.038148
Maydān,"1346 Florida Ave. NW, Washington, 20000, USA","$$$ · Middle Eastern, Grills",38.919957,-77.031162
San Lorenzo,"1316 9th St. NW, Washington, 20001, USA",$$$ · Italian,38.90786,-77.024304
Lutèce,"1522 Wisconsin Ave. NW, Washington, 20007, USA","$$ · Contemporary, American",38.909408,-77.064607
minibar,"855 E St. NW, Washington, 20004, USA",$$$$ · Contemporary,38.896331,-77.023447
Elcielo Washington,"1280 4th St. NE, Washington, 20002, USA","$$$$ · Colombian, Contemporary",38.908961,-76.999568
Ottoman Taverna,"425 I St. NW, Washington, 20001, USA",$$ · Turkish,38.901552,-77.016879
Reverie,"3201 Cherry Hill Ln. NW, Washington, 20007, USA",$$$$ · Contemporary,38.903801,-77.063307
Elfegne,"2420 18th St. NW, Washington, 20009, USA","$$ · Ethiopian, Regional Cuisine",38.921304,-77.042455
Causa,"920 Blagden Alley NW, Washington, 20001, USA","$$$$ · Peruvian, Latin American",38.906563,-77.024751
La Bise,"800 Connecticut Ave. NW, Washington, 20006, USA",$$$ · French,38.900408,-77.03854
BlackSalt,"4883 MacArthur Blvd., Washington, 20007, USA","$$$ · Seafood, American",38.917787,-77.09663
Bresca,"1906 14th St. NW, Washington, 20009, USA","$$$$ · Contemporary, American",38.91582,-77.03219
Opal,"5534 Connecticut Ave., Washington, 20015, USA",$$$ · American,38.964245,-77.0756
Mirra,"1954 W. Armitage Ave., Chicago, 60622, USA","$$ · Fusion, Mexican",41.917936,-87.677358
Laliko,"80 Carmine St., New York, 10014, USA",$$ · Central Asian,40.729436,-74.004928
Mango Bay,"271 Adelphi St., Brooklyn, 11205, USA",$$$ · Caribbean,40.689405,-73.970916
Taqueria Chingón,"817 W. Fulton Market, Chicago, 60607, USA",$ · Mexican,41.88656,-87.648225
Grazie Nonna,"1100 15th St. NW, Washington, 20005, USA","$$$ · Italian-American, Pizza",38.903974,-77.035
Cranes,"724 9th St. NW, Washington, 20001, USA","$$$$ · Spanish, Contemporary",38.89925,-77.024409
Mandu,"453 K St. NW, Washington, 20001, USA",$$ · Korean,38.902832,-77.017892
Tail Up Goat,"1827 Adams Mill Rd. NW, Washington, 20009, USA",$$ · Contemporary,38.923463,-77.043114
Sababa,"3311 Connecticut Ave. NW, Washington, 20008, USA",$$ · Mediterranean Cuisine,38.933898,-77.05711
Obelisk,"2029 P St. NW, Washington, 20036, USA",$$$$ · Italian,38.909807,-77.046231
Oyster Oyster,"1440 8th St. NW, Washington, 20001, USA","$$$ · Vegetarian, Contemporary",38.909238,-77.023088
Pineapple and Pearls,"715 8th St. SE, Washington, 20003, USA",$$$$ · Contemporary,47.301101,-122.219328
Tiger Fork,"922 N. St. NW, Washington, 20001, USA","$$ · Chinese, Cantonese",38.907005,-77.02487
Imperfecto: The Chef's Table,"1124 23rd St. NW, Washington, 20037, USA",$$$$ · Latin American,38.904321,-77.050332
L’Ardente,"200 Massachusetts Ave. NW, Ste. 100, Washington, 20001, USA",$$ · Italian,38.89898,-77.013993
Laos in Town,"250 K St. NE, Washington, 20002, USA","$$ · South East Asian, Lao",38.902821,-77.002361
Sushi Nakazawa,"1100 Pennsylvania Ave. NW, Washington, 20004, USA","$$$$ · Japanese, Sushi",38.894113,-77.027589
Rumi's Kitchen,"640 L St. NW, Washington, 20001, USA",$$ · Persian,38.904018,-77.020804
Chloe,"1331 4th St. SE, Washington, 20003, USA","$$$ · International, American",38.874565,-77.000776
St. James,"2017 14th St. NW, Washington, 20009, USA",$$$ · Caribbean,38.91765,-77.031637
Oyamel,"401 7th St. NW, Washington, 20004, USA",$$ · Mexican,38.89495,-77.021669
Shilling Canning Company,"360 Water St. SE, Washington, 20003, USA","$$$ · American, Contemporary",38.873969,-77.001078
Cucina Morini,"901 4th St. NW, Washington, 20001, USA",$$$ · Italian,38.901605,-77.015889
Apéro,"2622 P St. NW, Washington, 20007, USA","$$$$ · French, Contemporary",38.909199,-77.055495
1789,"1226 36th St. NW, Washington, 20007, USA","$$$$ · American, French",38.90611,-77.070499
Seven Reasons,"931 H St. NW, Washington, 20001, USA",$$$$ · Latin American,38.899999,-77.024971
Hitching Post,"200 Upshur St. NW, Washington, 20011, USA","$$ · Southern, Regional Cuisine",38.942042,-77.013776
Mita,"804 V St. NW, Washington, 20037, USA","$$$$ · Vegetarian, Latin American",38.917645,-77.023201
Anju,"1805 18th St. NW, Washington, 20009, USA","$$$ · Korean, Contemporary",38.914369,-77.04149
Albi,"1346 4th St. SE, Washington, 20003, USA",$$$$ · Middle Eastern,38.874261,-77.000271
Amparo Fondita,"2002 P St. NW, Washington, 20036, USA","$$ · Mexican, Contemporary",38.909473,-77.045254
Gravitas,"1401 Okie St. NE, Washington, 20002, USA","$$$$ · Contemporary, American",38.9145,-76.984094
Balos Estiatorio,"1940 N St. NW, Washington, 20036, USA","$$$ · Greek, Mediterranean Cuisine",38.907094,-77.044621
New Heights,"2317 Calvert St. NW, Washington, 20008, USA",$$$ · American,38.923721,-77.052249
Jaleo,"480 7th St. NW, Washington, 20004, USA",$$ · Spanish,38.895937,-77.022144
The Saga,"1190 22nd St. NW, Washington, 20037, USA",$$$$ · Spanish,38.904859,-77.04899
Ellē,"3221 Mt. Pleasant St. NW, Washington, 20010, USA","$$ · Contemporary, Bakery",38.93187,-77.038382
Del Mar,"791 Wharf St. SW, Washington, 20024, USA","$$$$ · Spanish, Basque",38.878882,-77.024617
The Pembroke,"1500 New Hampshire Ave. NW, Washington, 20036, USA",$$$ · French,38.910629,-77.043027
Bar Chinois,"455 I St. NW, Washington, 20001, USA","$$ · Asian, Dim Sum",38.901623,-77.017957
Michele's,"1201 K St. NW, Washington, 20005, USA",$$$ · American,38.902893,-77.028426
Georgia Brown’s,"950 15th St. NW, Washington, 20005, USA","$$$ · Southern, American",38.902007,-77.03484
Residents Cafe & Bar,"1306 18th St. NW, Washington, 20036, USA",$$ · Contemporary,38.907943,-77.041858
Cane,"403 H St. NE, Washington, 20002, USA","$$ · Caribbean, Regional Cuisine",38.899978,-77.000316
The Bombay Club,"815 Connecticut Ave. NW, Washington, 20006, USA","$$$ · Indian, Contemporary",38.900949,-77.038018
Estuary,"950 New York Ave. NW, Washington, 20001, USA","$$$$ · Seafood, Regional Cuisine",38.901325,-77.025426
Supra,"1205 11th St. NW, Washington, 20001, USA",$$ · Central Asian,38.905921,-77.026751
Unconventional Diner,"1207 9th St. NW, Washington, 20001, USA",$$ · American,38.905849,-77.023631
Rose’s Luxury,"717 8th St. SE, Washington, 20003, USA",$$$$ · Contemporary,38.880648,-76.995339
Stellina Pizzeria,"399 Morse St. NE, Washington, 20002, USA","$$ · Pizza, Italian",38.907808,-77.000318
Zaytinya,"701 9th St. NW, Washington, 20001, USA",$$ · Mediterranean Cuisine,38.898947,-77.023638
Timber Pizza Co,"809 Upshur St. NW, Washington, 20011, USA",$ · Pizza,38.94212,-77.023829
Mirra,"1954 W. Armitage Ave., Chicago, 60622, USA","$$ · Fusion, Mexican",41.917936,-87.677358
Laliko,"80 Carmine St., New York, 10014, USA",$$ · Central Asian,40.729436,-74.004928
Mango Bay,"271 Adelphi St., Brooklyn, 11205, USA",$$$ · Caribbean,40.689405,-73.970916
Taqueria Chingón,"817 W. Fulton Market, Chicago, 60607, USA",$ · Mexican,41.88656,-87.648225
Sfoglina,"4445 Connecticut Ave. NW, Washington, 20008, USA",$$ · Italian,38.946632,-77.064599
The Red Hen,"1822 1st St. NW, Washington, 20001, USA",$$ · Italian,38.915008,-77.01239
"Dear Sushi at Love, Makoto","200 Massachusetts Ave., NW, Ste.150, Washington, 20001, USA","$$$ · Sushi, Japanese Contemporary",38.89898,-77.013993
Rania,"427 11th St. NW, Washington, 20004, USA","$$$$ · Indian, Contemporary",38.895694,-77.026618
Lapis,"1847 Columbia Rd. NW, Washington, 20009, USA",$$ · Afghan,38.921301,-77.043922
Little Pearl,"921 Pennsylvania Ave. SE, Washington, 20003, USA",$$$$ · Contemporary,38.883012,-76.993146
Fiola,"601 Pennsylvania Ave. NW, Washington, 20004, USA","$$$$ · Italian, Contemporary",38.893305,-77.020536
Omakase at Barracks Row,"522 8th St. SE, Washington, 20003, USA","$$$$ · Japanese, Sushi",38.881903,-76.994714
"Beloved BBQ at Love, Makoto","200 Massachusetts Ave. NW, Ste.150, Washington, 20001, USA","$$$ · Japanese, Steakhouse",38.89898,-77.013993
Kappo,"4822 MaCarthur Blvd. NW, Washington, 20007, USA",$$$$ · Japanese,38.916711,-77.096395
The Dabney,"122 Blagden Alley NW, Washington, 20001, USA","$$$$ · American, Contemporary",38.906358,-77.024552
Jônt,"1904 14th St. NW, Washington, 20009, USA",$$$$ · Contemporary,38.915783,-77.032255
Shōtō,"1100 15th St. NW, Washington, 20005, USA",$$$ · Japanese,38.903974,-77.035
Kinship,"1015 7th St. NW, Washington, 20001, USA","$$$ · Contemporary, French Contemporary",38.903472,-77.021671
Hank’s Oyster Bar,"1624 Q St. NW, Washington, 20009, USA","$$ · Seafood, Oyster Specialities",38.910888,-77.038121
Chang Chang,"1200 19th St. NW, Washington, 20036, USA","$$$ · Chinese, Asian",38.906001,-77.043804
Yellow,"1524 Wisconsin Ave. NW, Washington, 20007, USA",$$ · Middle Eastern,38.909473,-77.064637
Patty O's Cafe & Bakery,"389 Main St., Washington, 22747, USA",$$$ · European,38.713485,-78.16014
Maketto,"1351 H St. NE, Washington, 20002, USA",$$ · Asian,38.900016,-76.986679
Karma Modern Indian,"611 I St. NW, Washington, 20001, USA","$$ · Indian, Contemporary",38.901079,-77.020598
Fiola Mare,"3050 K St. NW, Ste. 101, Washington, 20007, USA","$$$$ · Seafood, Contemporary",38.901991,-77.060863
Pascual,"732 Maryland Ave. NE, Washington, 20002, USA","$$$ · Mexican, Contemporary",38.895695,-76.995199
Ivy City Smokehouse,"1356 Okie St. NE, Washington, 20002, USA","$$ · Seafood, Barbecue",38.914641,-76.985556
The Inn at Little Washington,"309 Middle St., Washington, 22747, USA","$$$$ · American, French",38.713723,-78.159587
The Imperial,"2001 18th St. NW, Washington, 20009, USA",$$$ · American,38.917211,-77.041454
John's Food and Wine,"2114 N. Halsted St., Chicago, 60614, USA",$$$ · American,41.920465,-87.648928
Cariño,"4662 N. Broadway, Chicago, 60640, USA","$$$$ · Mexican, Contemporary",41.966978,-87.6588
Yao Yao,"230 W. Cermak Rd., Chicago, 60616, USA","$$ · Chinese, Regional Cuisine",41.853138,-87.632991
Indienne,"217 W. Huron St., Chicago, 60654, USA","$$$$ · Indian, Contemporary",41.894553,-87.635132
Swift & Sons,"1000 W. Fulton Market, Chicago, 60607, USA","$$$$ · Steakhouse, American Contemporary",41.887155,-87.652523
Proxi,"565 W. Randolph St., Chicago, 60661, USA","$$ · International, Asian",41.884368,-87.642452
Elske,"1350 W. Randolph Ave., Chicago, 60607, USA","$$$$ · Contemporary, American Contemporary",41.884478,-87.660936
Bar Mar,"120 N. Wacker Dr., Chicago, 60606, USA","$$$ · Seafood, Spanish",41.883985,-87.637203
Esmé,"2200 N. Clark St., Chicago, 60614, USA","$$$$ · Contemporary, Creative",41.922212,-87.638716
Mott St.,"1401 N. Ashland Ave., Chicago, 60622, USA","$$$ · Fusion, Contemporary",41.907149,-87.667269
Jeong,"1460 W. Chicago Ave., Chicago, 60647, USA","$$$$ · Korean, Contemporary",41.896353,-87.664812
Dear Margaret,"2965 N. Lincoln Ave., Chicago, 60657, USA","$$$ · Contemporary, French",41.935869,-87.662931
Lou Mitchell's,"565 W. Jackson Blvd., Chicago, 60661, USA",$$ · American,41.877854,-87.642132
Oriole,"661 W. Walnut St., Chicago, 60661, USA","$$$$ · Contemporary, American Contemporary",41.886199,-87.64513
Boonie's,"4337 N. Western Ave., Chicago, 60618, USA",$$ · Filipino,41.960631,-87.688354
Elina's,"1202 W. Grand Ave., Chicago, 60642, USA","$$$ · Italian-American, Regional Cuisine",41.891308,-87.657647
Mako,"731 W. Lake St., Chicago, 60661, USA","$$$$ · Japanese, Sushi",41.885672,-87.647005
mfk.,"432 W. Diversey Pkwy., Chicago, 60614, USA","$$$ · Spanish, Fusion",41.933046,-87.640695
Galit,"2429 N. Lincoln Ave., Chicago, 60614, USA","$$$$ · Middle Eastern, Mediterranean Cuisine",41.926317,-87.649512
Bayan Ko,"1810 W. Montrose Ave., Chicago, 60613, USA","$$$$ · Filipino, Cuban",41.961705,-87.674985
ROOP Chicago,"736 W. Randolph St., Chicago, 60661, USA","$$$ · Indian, Contemporary",41.884791,-87.647145
Momotaro,"820 W. Lake St., Chicago, 60607, USA","$$$ · Japanese, Asian",41.885893,-87.648451
The Izakaya at Momotaro,"820 W. Lake St., Chicago, 60607, USA","$$$ · Japanese, Izakaya",41.885893,-87.648451
Mirra,"1954 W. Armitage Ave., Chicago, 60622, USA","$$ · Fusion, Mexican",41.917936,-87.677358
Laliko,"80 Carmine St., New York, 10014, USA",$$ · Central Asian,40.729436,-74.004928
